subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch8,alpha,8.0,13.0,0.02570193930111212,0.01764728565737315,0.04077064549140187,10.5,78755
2,VIZ,EEG-ch9,alpha,8.0,13.0,0.013055062691025781,0.020544784904160212,-0.022306567362329378,10.5,78755
2,VIZ,EEG-ch10,alpha,8.0,13.0,0.020457383049126553,0.0023079460017516582,0.0010889235824427098,10.5,78755
2,VIZ,EEG-ch11,alpha,8.0,13.0,0.03912130830198475,0.04038475357170994,0.03672463541357972,10.5,78755
2,VIZ,EEG-ch12,alpha,8.0,13.0,0.010352549573699469,0.002702377846719482,0.04511190987759245,10.5,78755
2,VIZ,EEG-ch14,alpha,8.0,13.0,0.008697902932461208,0.00818062498017122,-0.03786562998317509,10.5,78755
2,VIZ,EEG-ch15,alpha,8.0,13.0,0.012987568162742102,0.011258802678246797,0.03888300144464404,10.5,78755
2,VIZ,EEG-ch16,alpha,8.0,13.0,0.014542685780406489,0.021351734091308316,0.029265552805326646,10.5,78755
2,VIZ,EEG-ch17,alpha,8.0,13.0,0.0009507874505003291,0.0011930522646498942,-0.03357421608294182,10.5,78755
2,VIZ,EEG-ch20,alpha,8.0,13.0,0.01599470981211449,0.021866219236135895,0.031669876251470004,10.5,78755
2,VIZ,EEG-ch21,alpha,8.0,13.0,0.024924054362105926,0.03056865751436335,0.03383185311297086,10.5,78755
2,VIZ,EEG-ch22,alpha,8.0,13.0,0.007059707090350418,0.005038612171440992,-0.04053641713129345,10.5,78755
2,VIZ,EEG-ch24,alpha,8.0,13.0,0.026850083716957216,0.041405070281333785,0.02691563951410056,10.5,78755
2,VIZ,EEG-ch25,alpha,8.0,13.0,0.018903369844464758,0.025874728598581954,0.031285436374866915,10.5,78755
2,VIZ,EEG-ch26,alpha,8.0,13.0,0.013168747933727722,0.0008803212300175096,-0.04697824644039121,10.5,78755
2,VIZ,EEG-ch27,alpha,8.0,13.0,0.003703457655353043,0.005838058432520112,-0.024131263831793356,10.5,78755
2,VIZ,EEG-ch29,alpha,8.0,13.0,0.015562671806914933,0.00945209372582156,0.04160225523440274,10.5,78755
2,VIZ,EEG-ch30,alpha,8.0,13.0,0.010531485675136936,0.008636882704669073,0.039296202223506986,10.5,78755
2,VIZ,EEG-ch31,alpha,8.0,13.0,0.015694791841385718,0.0013260274575050018,0.04679785007233988,10.5,78755
2,VIZ,EEG-ch32,alpha,8.0,13.0,0.0024754539893145906,0.0023790418537842704,-0.037595309137489326,10.5,78755
2,VIZ,EEG-ch1,low_beta,13.0,20.0,0.02934457479265208,0.03111545574360009,0.0070855513967759505,16.5,78755
2,VIZ,EEG-ch2,low_beta,13.0,20.0,0.0207523026483885,0.03290804730888438,-0.015308690768459208,16.5,78755
2,VIZ,EEG-ch3,low_beta,13.0,20.0,0.011693886950791309,0.01830649248465985,-0.015565429899248057,16.5,78755
2,VIZ,EEG-ch4,low_beta,13.0,20.0,0.01693766775621955,0.01194109755158883,-0.004454370542335367,16.5,78755
2,VIZ,EEG-ch5,low_beta,13.0,20.0,0.01222450749038259,0.010632294637706466,-0.024669688662849115,16.5,78755
2,VIZ,EEG-ch6,low_beta,13.0,20.0,0.024090314342435967,0.019075485575708366,-0.025195793382848285,16.5,78755
2,VIZ,EEG-ch7,low_beta,13.0,20.0,0.009362422688982444,0.012617073896889153,-0.020493123604768376,16.5,78755
2,VIZ,EEG-ch8,low_beta,13.0,20.0,0.012391895920246606,0.017997612386908165,-0.01909663703928357,16.5,78755
2,VIZ,EEG-ch9,low_beta,13.0,20.0,0.015534700906228216,0.019403209706295017,-0.021421778372997104,16.5,78755
2,VIZ,EEG-ch10,low_beta,13.0,20.0,0.009270853546266812,0.014069894104621672,0.012570703908758784,16.5,78755
2,VIZ,EEG-ch11,low_beta,13.0,20.0,0.017867550523020054,0.025185936659667545,-0.019577042631614642,16.5,78755
2,VIZ,EEG-ch12,low_beta,13.0,20.0,0.004530029854275998,0.0027471966406477106,0.02645092633023927,16.5,78755
2,VIZ,EEG-ch14,low_beta,13.0,20.0,0.011598556554710539,0.0008860335656739325,0.00046877271560504273,16.5,78755
2,VIZ,EEG-ch15,low_beta,13.0,20.0,0.0037869703689660116,0.005212350902819109,-0.020058556972993167,16.5,78755
2,VIZ,EEG-ch16,low_beta,13.0,20.0,0.015302071421600612,0.02131688466792167,-0.019812862068016114,16.5,78755
2,VIZ,EEG-ch17,low_beta,13.0,20.0,0.0028371645131227427,0.003132227615530811,0.02278139468733483,16.5,78755
2,VIZ,EEG-ch20,low_beta,13.0,20.0,0.013086645188991324,0.010065414004321743,0.025290199374809596,16.5,78755
2,VIZ,EEG-ch21,low_beta,13.0,20.0,0.013006369336647894,0.002399854176969113,0.029155996286698332,16.5,78755
2,VIZ,EEG-ch22,low_beta,13.0,20.0,0.004579787108546513,0.0015067475936343573,0.028274580530305054,16.5,78755
